time,open,high,low,close,tick_volume,spread,real_volume
2025-04-03 20:00:00,3107.567,3119.962,3107.2,3112.884,17509,159,0
2025-04-04 00:00:00,3112.908,3115.817,3086.989,3098.481,53686,159,0
2025-04-04 04:00:00,3098.435,3109.96,3091.993,3092.85,50022,159,0
2025-04-04 08:00:00,3092.883,3136.756,3078.42,3110.239,109531,159,0
2025-04-04 12:00:00,3110.248,3111.86,3016.939,3021.951,204586,159,0
2025-04-04 16:00:00,3021.908,3040.925,3015.593,3036.427,89676,159,0
2025-04-04 20:00:00,3036.464,3040.94,3033.84,3038.506,9006,159,0
2025-04-06 20:00:00,3028.686,3032.445,2977.024,2999.944,46371,159,0
2025-04-07 00:00:00,2999.954,3055.804,2970.689,3018.926,170058,159,0
2025-04-07 04:00:00,3018.955,3044.629,3013.2,3018.569,101878,159,0
2025-04-07 08:00:00,3018.537,3046.148,3017.685,3031.27,90886,159,0
2025-04-07 12:00:00,3031.296,3038.036,2979.81,2987.544,205224,159,0
2025-04-07 16:00:00,2987.452,2987.862,2956.374,2976.636,94714,159,0
2025-04-07 20:00:00,2976.59,2988.669,2969.884,2981.328,22719,159,0
2025-04-08 00:00:00,2981.363,3004.876,2980.306,2994.741,69744,159,0
2025-04-08 04:00:00,2994.716,3015.779,2990.88,3003.607,62672,159,0
2025-04-08 08:00:00,3003.579,3019.502,2994.793,3017.379,42566,159,0
2025-04-08 12:00:00,3017.467,3022.746,3001.241,3001.545,79353,159,0
2025-04-08 16:00:00,3001.596,3001.596,2974.596,2984.959,56676,159,0
2025-04-08 20:00:00,2984.996,2990.888,2969.978,2978.367,21830,159,0
2025-04-09 00:00:00,2978.398,3011.285,2972.466,3004.464,78566,159,0
2025-04-09 04:00:00,3004.464,3052.375,2999.507,3041.091,76762,159,0
2025-04-09 08:00:00,3041.05,3068.113,3036.074,3066.596,65575,159,0
2025-04-09 12:00:00,3066.641,3087.773,3042.626,3086.288,100223,159,0
2025-04-09 16:00:00,3086.33,3099.673,3048.521,3093.574,109921,159,0
2025-04-09 20:00:00,3093.62,3095.551,3071.426,3086.784,26800,159,0
2025-04-10 00:00:00,3086.745,3131.834,3078.431,3125.408,77900,159,0
2025-04-10 04:00:00,3125.386,3132.616,3106.551,3108.703,49235,159,0
2025-04-10 08:00:00,3108.704,3125.65,3103.182,3124.648,48206,159,0
2025-04-10 12:00:00,3124.677,3174.993,3116.011,3157.982,100501,159,0
2025-04-10 16:00:00,3157.95,3176.415,3151.517,3170.773,59471,159,0
2025-04-10 20:00:00,3170.749,3191.341,3168.437,3188.972,23586,159,0
2025-04-11 00:00:00,3188.993,3220.137,3184.783,3217.686,85385,159,0
2025-04-11 04:00:00,3217.693,3219.286,3187.187,3212.406,73428,159,0
2025-04-11 08:00:00,3212.43,3237.84,3208.51,3213.872,73631,159,0
2025-04-11 12:00:00,3213.91,3244.158,3211.033,3240.577,96959,159,0
2025-04-11 16:00:00,3240.602,3245.436,3219.561,3231.084,48781,159,0
2025-04-11 20:00:00,3231.057,3238.974,3230.864,3237.519,5154,159,0
2025-04-13 20:00:00,3220.46,3224.786,3213.589,3223.733,19664,159,0
2025-04-14 00:00:00,3223.699,3245.757,3215.38,3232.444,54673,159,0
2025-04-14 04:00:00,3232.445,3238.198,3221.386,3228.013,39555,159,0
2025-04-14 08:00:00,3227.973,3231.724,3206.301,3223.359,51908,159,0
2025-04-14 12:00:00,3223.332,3227.712,3193.552,3198.051,75713,159,0
2025-04-14 16:00:00,3198.089,3216.602,3197.637,3212.699,32562,159,0
2025-04-14 20:00:00,3212.745,3215.225,3207.342,3212.626,11436,159,0
2025-04-15 00:00:00,3212.601,3228.936,3210.002,3228.304,34975,159,0
2025-04-15 04:00:00,3228.345,3232.704,3217.361,3225.671,31288,159,0
2025-04-15 08:00:00,3225.623,3232.171,3216.776,3220.164,31499,159,0
2025-04-15 12:00:00,3220.192,3226.933,3211.555,3221.371,47762,159,0
2025-04-15 16:00:00,3221.394,3231.877,3219.486,3229.793,21557,159,0
2025-04-15 20:00:00,3229.86,3251.826,3226.453,3251.78,17786,159,0
2025-04-16 00:00:00,3251.804,3281.75,3251.59,3281.401,54598,159,0
2025-04-16 04:00:00,3281.401,3300.663,3269.29,3300.433,44780,159,0
2025-04-16 08:00:00,3300.386,3317.821,3288.55,3306.842,58292,159,0
2025-04-16 12:00:00,3306.798,3328.141,3296.871,3325.328,72936,159,0
2025-04-16 16:00:00,3325.216,3342.462,3321.409,3336.694,42360,159,0
2025-04-16 20:00:00,3336.72,3357.738,3334.437,3350.133,22453,159,0
2025-04-17 00:00:00,3350.168,3356.316,3320.801,3344.538,75021,159,0
2025-04-17 04:00:00,3344.49,3345.445,3314.279,3323.323,51782,159,0
2025-04-17 08:00:00,3323.36,3334.181,3312.657,3327.371,39109,159,0
2025-04-17 12:00:00,3327.322,3342.433,3283.828,3296.431,99843,159,0
2025-04-17 16:00:00,3296.335,3322.464,3294.904,3320.747,37741,159,0
2025-04-17 20:00:00,3320.691,3328.838,3317.996,3327.671,5309,159,0
2025-04-20 20:00:00,3331.849,3353.144,3331.312,3348.078,23638,159,0
2025-04-21 00:00:00,3348.119,3385.242,3347.487,3382.472,60027,159,0
2025-04-21 04:00:00,3382.465,3396.018,3369.599,3385.121,45508,159,0
