time,open,high,low,close,tick_volume,spread,real_volume
2023-05-19 17:00:00,1978.331,1983.185,1977.194,1982.935,4607,200,0
2023-05-19 18:00:00,1982.966,1983.228,1976.783,1976.921,3919,200,0
2023-05-19 19:00:00,1976.902,1977.336,1974.236,1976.111,4110,200,0
2023-05-19 20:00:00,1976.142,1977.776,1975.439,1977.703,1979,200,0
2023-05-21 22:00:00,1978.005,1981.293,1978.005,1980.151,1951,200,0
2023-05-21 23:00:00,1980.164,1981.48,1979.307,1980.829,1772,200,0
2023-05-22 00:00:00,1980.827,1981.323,1978.373,1980.949,3127,200,0
2023-05-22 01:00:00,1980.964,1982.321,1978.397,1980.251,5494,200,0
2023-05-22 02:00:00,1980.247,1980.251,1976.283,1978.104,4024,200,0
2023-05-22 03:00:00,1978.106,1979.091,1976.668,1977.843,2780,200,0
2023-05-22 04:00:00,1977.873,1978.744,1975.886,1976.281,1937,200,0
2023-05-22 05:00:00,1976.285,1976.321,1972.31,1973.072,3861,200,0
2023-05-22 06:00:00,1973.047,1976.815,1971.21,1976.282,5138,200,0
2023-05-22 07:00:00,1976.25,1978.558,1974.344,1976.8,4707,200,0
2023-05-22 08:00:00,1976.783,1980.731,1975.151,1980.684,3939,200,0
2023-05-22 09:00:00,1980.681,1982.53,1979.216,1979.633,3819,200,0
2023-05-22 10:00:00,1979.648,1981.382,1977.612,1978.108,3441,200,0
2023-05-22 11:00:00,1978.118,1978.821,1969.575,1972.935,4911,200,0
2023-05-22 12:00:00,1972.908,1978.535,1972.601,1975.521,6672,200,0
2023-05-22 13:00:00,1975.54,1975.798,1971.285,1971.558,7625,200,0
2023-05-22 14:00:00,1971.525,1978.491,1968.69,1973.277,11484,200,0
2023-05-22 15:00:00,1973.307,1974.541,1970.828,1972.417,4958,200,0
2023-05-22 16:00:00,1972.45,1975.441,1972.388,1974.543,4036,200,0
2023-05-22 17:00:00,1974.52,1978.87,1974.006,1974.94,4919,200,0
2023-05-22 18:00:00,1974.963,1975.779,1972.418,1972.967,3600,200,0
2023-05-22 19:00:00,1973.0,1973.791,1971.615,1972.095,3191,200,0
2023-05-22 20:00:00,1972.065,1972.528,1971.565,1971.583,1547,200,0
